phrase attendue;phrase entree;sortie attendue
comment t’appelles tu;c'est quoi ton nom ?;Je m'appelle Buddy et je suis le premier robot domestique destiné au grand public/Je suis Buddy, le premier robot à t'aider au quotidien/Buddy/Je m'appelle BUDDY.
quel temps fait-il à Paris ?;il y a un beau temps à paris ?;Request(type=meteo, lieu=Paris)
Sais-tu danser ?;tu danses ?;Oui bien sûr ! Certains disent que je suis une bête de scène
Sais-tu danser ?;est ce que tu sais danser ?;Oui bien sûr ! Certains disent que je suis une bête de scène
Sais-tu danser ?;Est-ce que tu as appris à danser ?;Oui bien sûr ! Certains disent que je suis une bête de scène
allume la radio du salon;active la radio du salon;TurnOn(radio, salon)
allume la radio du salon;;TurnOn(radio, salon)
allume la radio du salon;;TurnOn(radio, salon)
éteins la radio du salon;arrête la radio;TurnOff(radio, salon)
éteins la radio du salon;arrête la radio du salon;TurnOff(radio, salon)
mets le chauffage à cinq degrès;monte le chauffage à cinq degrès;Set(device=chauffage, param=5)
mets le chauffage à cinq degrès;active le chauffage à cinq degrès;Set(device=chauffage, param=5)
donne la liste de courses;affiche la liste de courses;Get(device=courses, param=element)
donne la liste de courses;donne moi la liste de courses;Get(device=courses, param=element)
donne la liste de courses;affiche moi la liste de courses;Get(device=courses, param=element)
donne moi la liste de courses;comment est composée la liste de courses;Get(device=courses, param=element)
donne moi la liste de courses;quelles sont les courses à faire ?;Get(device=courses, param=element)
donne moi la liste de courses;qu'est-ce qu'il y a dans la liste de courses ?;Get(device=courses, param=element)
y a t il des courses à faire;dois je faire des courses;sizeof(device=courses)
y a t il des courses à faire;y a t il des courses a faire;sizeof(device=courses)
y a t il des courses à faire;j ai des choses a acheter ?;sizeof(device=courses)
combien y-a-t-il d’élément dans la liste de courses ?;j ai combien d éléments dans la liste de courses;Request(type=howmany, device=list)
combien y-a-t-il d’élément dans la liste de courses ?;j'ai combien de truc dans la liste de courses;Request(type=howmany, device=list)
combien y-a-t-il d’élément dans la liste de courses ?;j'ai combien d truc dans la liste de courses;Request(type=howmany, device=list)
bonjour;hello;Salut ! Je suis Buddy, je suis ton ami.
bonjour;hey buddy;Salut ! Je suis Buddy, je suis ton ami.
bonjour;salut;Salut ! Je suis Buddy, je suis ton ami.
bonjour buddy;salut buddy;Salut ! Je suis Buddy, je suis ton ami.
efface la liste de courses;peux tu supprimer la liste de courses;delete(device=list)
efface la liste de courses;peux tu effacer la liste de courses;delete(device=list)
efface la liste de courses;supprime les courses;delete(device=list)
efface la liste de courses;supprime la liste de courses;delete(device=list)
efface la liste de courses;supprimer la liste de courses;delete(device=list)
envoyer la liste de courses;peux tu m envoyer la liste de courses;Send(device=list, who=me)
qui es-tu;quelle est ton identité ?;Je m'appelle Buddy et je suis le premier robot domestique pour le grand public/Je suis Buddy, je suis le premier robot à t'aider au quotidien/Buddy/Je m'appelle BUDDY./Je suis ton pire cauchemar !
qu est ce qu’un robot ?;c'est quoi un robot ?;Request(type=what, param=robot)
