allume la radio du salon;TurnOn(radio, salon)
allume la lampe du salon;TurnOn(lampe, salon)
allume le volet du salon;TurnOn(volet, salon)
allume les stores du salon;TurnOn(stores, salon)
allume le chauffage du salon;TurnOn(chauffage, salon)
allume la serrure du salon;TurnOn(serrure, salon)
allume la télévision du salon;TurnOn(television,salon)
éteins la radio du salon;TurnOff(radio, salon)
éteins la lampe du salon;TurnOff(lampe, salon)
éteins le volet du salon;TurnOff(volet, salon)
éteins les stores du salon;TurnOff(stores, salon)
éteins le chauffage du salon;TurnOff(chauffage, salon)
mets la radio;TurnOn(radio, salon)
éteins la serrure du salon;TurnOff(serrure, salon)
éteins la télévision du salon;TurnOff(television,salon)
mets la lampe du salon en rouge;Set(lampe, color=rouge, location=salon)
Joue la playlist rock;Set(device=playlist, param=rock)
Est-ce que la lampe du salon est allumée ?;IsOn(device=lampe, location=salon)
Quel est le nom de la playlist ?;Get(device=playlist, param=nom)
Peux tu arreter la radio ?;TurnOff(radio)
