allume;TurnOn;;
radio;device=radio;;
allume radio;TurnOn;device=radio;
arrete;TurnOff;;
lampe;device=lampe;;
stores;device=stores;;
chauffage;device=chauffage;;
serrure;device=serrure;;
télévision;device=télévision;;
salon;location=salon;;
éteins;TurnOff;;
rouge;color=rouge;;
en rouge;color=rouge;;
joue playlist rock;Set;device=playlist;param=rock
mets;Set;;
chauffage seize degrés;device=chauffage;param=10;
chauffage dix-sept degrés;device=chauffage;param=10;
qu;Request;type=what;
qui;Request;type=who;
quand;Request;type=when;
où;Request;type=where;
quel est;Get;;
playlist;device=playlist;;
nom;param=nom;;
courses;device=courses;;
donne;Get;;
efface;Delete;;
donne les courses;Get;device=courses;param=element
y a t il des courses à faire;Sizeof;device=courses;
vide;Clear;;
combien;Request;type=howmany;
combien y a t il d éléments dans les courses;Request;type=howmany;device=courses
envoyer;Send;;
envoie moi;Send;who=me;
robot;param=robot;;
président;param=président;;
monnaie;param=monnaie;;
monnaie du Portugal;param=monnaie du portugal;;
quand a eu lieu;Request;type=when;
la révolution française;param=révolution française;;
quelles;Request;;
dernières actualité;type=news;param=latest;
les actualités;type=news;param=latest;
donne moi;Request;;
françois hollande;topic=françois hollande;;
les résultats de France-Allemagne;param=sportNews;topic=France-Allemagne;
temps;type=meteo;;
fera t il demain;date=demain;;
demain;date=demain;;
à Paris;lieu=Paris;;
à Avignon;lieu=Avignon;;
à Lyon;lieu=Lyon;;
pleuvoir;weatherPrediction=pleuvoir;;
Est-ce que;IsOn;;
quel;Request;type=what;
quels;Request;type=what;
quelles;Request;type=what;
quelle;Request;type=what;
c’est quoi;Request;type=what;
supprime;Delete;;
