allume;TurnOn;;;
radio;device=radio;;;
allume radio;TurnOn;device=radio;;
lampe;device=lampe;;;
stores;device=stores;;;
chauffage;device=chauffage;;;
serrure;device=serrure;;;
télévision;device=télévision;;;
salon;location=salon;;;
éteins;TurnOff;;;
rouge;color=rouge;;;
en rouge;color=rouge;;;
joue playlist rock;Set;device=playlist;param=rock;
mets;Set;;;
chauffage seize degrés;device=chauffage;param=10;;
chauffage dix-sept degrés;device=chauffage;param=10;;
qu;Request;type=what;;
qui;Request;type=who;;
quand;Request;type=when;;
où;Request;type=where;;
quel est;Get;;;
playlist;device=playlist;;;
nom;param=nom;;;
courses;device=courses;;;
donne;Get;;;
efface;Delete;;;
donne les courses;Get;device=courses;param=element;
y a t il des courses à faire;Sizeof;device=courses;;
vide;Clear;;;
combien;Request;type=howmany;;
combien y a t il d éléments dans les courses;Request;type=howmany;device=courses;
envoyer;Send;;;
envoie moi;Send;who=me;;
robot;param=robot;;;
président;param=président;;;
monnaie;param=monnaie;;;
monnaie du Portugal;param=monnaie du portugal;;;
quand a eu lieu;Request;type=when;;
la révolution française;param=révolution française;;;
quelles;Request;;;
dernières actualité;type=news;param=latest;;
les actualités;type=news;param=latest;;
donne moi;Request;;;
françois hollande;topic=françois hollande;;;
les résultats de France-Allemagne;param=sportNews;topic=France-Allemagne;;
temps;type=meteo;;;
fera t il demain;date=demain;;;
demain;date=demain;;;
à Paris;lieu=Paris;;;
à Avignon;lieu=Avignon;;;
à Lyon;lieu=Lyon;;;
pleuvoir;weatherPrediction=pleuvoir;;;
Est-ce que;IsOn;;;
quel;Request;type=what;;
quels;Request;type=what;;
quelles;Request;type=what;;
quelle;Request;type=what;;
c’est quoi;Request;type=what;;
supprime;Delete;;;
allume la radio du salon;TurnOn;device=radio;location=salon;
allume la lampe du salon;TurnOn;device=lampe;location=salon;
allume le volet du salon;TurnOn;device=volet;location=salon;
allume les stores du salon;TurnOn;device=stores;location=salon;
allume le chauffage du salon;TurnOn;device=chauffage;location=salon;
allume la serrure du salon;TurnOn;device=serrure;location=salon;
allume la télévision du salon;TurnOn;device=television;location=salon;
éteins la radio du salon;TurnOff;device=radio;location=salon;
éteins la lampe du salon;TurnOff;device=lampe;location=salon;
éteins le volet du salon;TurnOff;device=volet;location=salon;
éteins les stores du salon;TurnOff;device=stores;location=salon;
éteins le chauffage du salon;TurnOff;device=chauffage;location=salon;
mets la radio;TurnOn;device=radio;location=salon;
éteins la serrure du salon;TurnOff;device=serrure;room=salon;
éteins la télévision du salon;TurnOff;device=television;room=salon;
mets la lampe du salon en rouge;Set;device=lampe;color=rouge;location=salon
Joue la playlist rock;Set;device=playlist;param=rock;
mets le chauffage à 16 degrès;Set;device=chauffage;param=16;
mets le chauffage à 17 degrès;Set;device=chauffage;param=17;
mets le chauffage à 18 degrès;Set;device=chauffage;param=18;
mets le chauffage à 19 degrès;Set;device=chauffage;param=19;
mets le chauffage à 20 degrès;Set;device=chauffage;param=20;
mets le chauffage à 21 degrès;Set;device=chauffage;param=21;
mets le chauffage à 22 degrès;Set;device=chauffage;param=22;
mets le chauffage à 23 degrès;Set;device=chauffage;param=23;
mets le chauffage à 24 degrès;Set;device=chauffage;param=24;
mets le chauffage à 25 degrès;Set;device=chauffage;param=25;
mets le chauffage à 26 degrès;Set;device=chauffage;param=26;
mets le chauffage à 27 degrès;Set;device=chauffage;param=27;
mets le chauffage à 28 degrès;Set;device=chauffage;param=28;
mets le chauffage à 29 degrès;Set;device=chauffage;param=29;
mets le chauffage à 30 degrès;Set;device=chauffage;param=30;
mets le chauffage à cinq degrès;Set;device=chauffage;param=5;
mets le chauffage à dix degrès;Set;device=chauffage;param=10;
Est-ce que la lampe du salon est allumée ?;IsOn;device=lampe;location=salon;
Quel est le nom de la playlist ?;Get;device=playlist;param=nom;
qu y a t il dans la liste de courses ?;Get;device=courses;param=elements;
donne la liste de courses;Get;device=courses;param=element;
Y a t il des courses à faire ?;sizeof;device=courses;;
Efface la liste de courses;delete;device=courses;;
Vide la liste de courses;clear;device=courses;;
Combien y a t il d élément dans la liste de courses ?;Request;type=howmany;device=courses;
envoyer la liste de courses ?;Send;device=courses;who=me;
envoie la liste de courses ?;Send;device=courses;who=me;
Qu'est ce qu'un robot ?;Request;type=what;param=robot;
Qui est le président ?;Request;type=who;param=president;
Quelle est la monnaie du Portugal ?;Request;type=what;param=monnaie du portugal;
Quand a eu lieu la révolution française ?;Request;type=when;param=revolution française;
Quelles sont les dernières actualités ?;Request;type=news;param=latest;
Donnes moi les actualités sur François Hollande.;Request;type=news;topic=françois hollande;
Donnes moi les résultats de France-Allemagne;Request;type=news;topic=france-allemagne;
Quel temps fera t il demain ?;Request;type=meteo;date=demain;
Va t il pleuvoir ?;Request;type=meteo;weatherPrediction=pleuvoir;
Quel temps fait il à Paris ?;Request;type=meteo;lieu=Paris;
Quel temps fait il à Avignon ?;Request;type=meteo;lieu=Avignon;
