bienvenu;Affirm;type=welcome
allume;TurnOn;
radio;device=radio;
arrete;TurnOff;
lampe;device=lampe;
stores;device=stores;
chauffage;device=chauffage;
serrure;device=serrure;
télévision;device=télévision;
pleuvoir;weatherPrediction=pleuvoir;
salon;location=salon;
éteins;TurnOff;
rouge;color=rouge;
mets;Set;
demain;date=demain;
d’hier;date=hier;
hier;date=hier;
qu;Request;type=what
qui;Request;type=who
quand;Request;type=when
où;Request;type=where
playlist;device=playlist;
nom;param=nom;
courses;device=courses;
donne;Get;
efface;Delete;
vide;Clear;
combien;Request;type=howmany
actualités;type=news;param=latest
envoyer;Send;
robot;param=robot;
président;param=président;
monnaie;param=monnaie;
quelles;Request;type=what
quel;Request;type=what
quels;Request;type=what
quelles;Request;type=what
quelle;Request;type=what
c’est quoi;Request;type=what
supprime;Delete;
Paris;location=Paris;
Toulouse;location=Toulouse;
Avignon;location=Avignon;
France-Allemagne;param=sportNews;topic=France-Allemagne
envoie moi;Send;who=me
monnaie du Portugal;param=monnaie du portugal;
Révolution Française;param=révolution française;
quand a eu lieu;Request;type=when
quel temps fait-il;Request;type=meteo
la révolution française;param=révolution française;
dernières actualité;type=news;param=latest
donne moi;Request;
françois hollande;topic=françois hollande;
les résultats de France-Allemagne;param=sportNews;topic=France-Allemagne
temps;type=meteo;
fera t il demain;date=demain;
demain;date=demain;
à Paris;lieu=Paris;
à Avignon;lieu=Avignon;
à Lyon;lieu=Lyon;
pleuvoir;weatherPrediction=pleuvoir;
Est-ce que;IsOn;
