bonjour;TurnOn(radio, salon)
allume la lampe du salon;TurnOn(lampe, salon)
allume le volet du salon;TurnOn(volet, salon)
allume les stores du salon;TurnOn(stores, salon)
allume le chauffage du salon;TurnOn(chauffage, salon)
allume la serrure du salon;TurnOn(serrure, salon)
allume la télévision du salon;TurnOn(television,salon)
éteins la radio du salon;TurnOff(radio, salon)
éteins la lampe du salon;TurnOff(lampe, salon)
éteins le volet du salon;TurnOff(volet, salon)
éteins les stores du salon;TurnOff(stores, salon)
éteins le chauffage du salon;TurnOff(chauffage, salon)
mets la radio;TurnOn(radio, salon)
;
éteins la serrure du salon;TurnOff(serrure, salon)
éteins la télévision du salon;TurnOff(television,salon)
mets la lampe du salon en rouge;Set(lampe, color=rouge, location=salon)
Joue la playlist rock;Set(device=playlist, param=rock)
;
mets le chauffage à 16 degrès;Set(device=chauffage, param=10)
mets le chauffage à 17 degrès;Set(device=chauffage, param=17)
mets le chauffage à 18 degrès;Set(device=chauffage, param=18)
mets le chauffage à 19 degrès;Set(device=chauffage, param=19)
mets le chauffage à 20 degrès;Set(device=chauffage, param=20)
mets le chauffage à 21 degrès;Set(device=chauffage, param=21)
mets le chauffage à 22 degrès;Set(device=chauffage, param=22)
mets le chauffage à 23 degrès;Set(device=chauffage, param=23)
mets le chauffage à 24 degrès;Set(device=chauffage, param=24)
mets le chauffage à 25 degrès;Set(device=chauffage, param=25)
mets le chauffage à 26 degrès;Set(device=chauffage, param=26)
mets le chauffage à 27 degrès;Set(device=chauffage, param=27)
mets le chauffage à 28 degrès;Set(device=chauffage, param=28)
mets le chauffage à 29 degrès;Set(device=chauffage, param=29)
mets le chauffage à 30 degrès;Set(device=chauffage, param=30)
mets le chauffage à cinq degrès;Set(device=chauffage, param=5)
mets le chauffage à dix degrès;Set(device=chauffage, param=10)
;
Est-ce que la lampe du salon est allumée ?;IsOn(device=lampe, location=salon)
Quel est le nom de la playlist ?;Get(device=playlist, param=nom)
;
qu y a t il dans la liste de courses ?;Get(device=courses, param=elements)
donne la liste de courses;Get(device=courses, param=element)
Y a t il des courses à faire ?;sizeof(device=courses)
Efface la liste de courses;delete(device=list)
Vide la liste de courses;clear(device=list)
Combien y a t il d élément dans la liste de courses ?;Request(type=howmany, device=list)
envoyer la liste de courses ?;Send(device=list, who=me)
envoie la liste de courses ?;Send(device=list, who=me)
;
Qu'est ce qu'un robot ?;Request(type=what, param=robot)
Qui est le président ?;Request(type=who, param=president)
Quelle est la monnaie du Portugal ?;Request(type=what, param=monnaie du portugal)
Quand a eu lieu la révolution française ?;Request(type=when, param=revolution française)
Quelles sont les dernières actualités ?;Request(type=news, param=latest)
Donnes moi les actualités sur François Hollande.;Request(type=news, param=latest, topic=francois hollande)
Donnes moi les résultats de France-Allemagne;Request(type=news, param=sportNews, topic=France-Allemagne)
Quel temps fera t il demain ?;Request(type=meteo, param=temp, date=demain)
Va t il pleuvoir ?;Request(type=meteo, weatherPrediction=pleuvoir)
Quel temps fait il à Paris ?;Request(type=meteo, lieu=Paris)
Quel temps fait il à Avignon ?;Request(type=meteo, lieu=Avignon)
;
;
pourrais tu nous expliquer ce que tu sais faire ?;Je sais faire pleins de choses, entre autres, t'aider à cuisiner en dictant une recette, donner la météo, jouer avec les enfants, leur raconter une histoire, et aider les personnes âgées en leur rappelant la prise de médicament. Je suis un vrai compagnon qui t'accompagne au quotidien.
;
Sais tu danser ?;Oui bien sûr ! Certains disent que je suis une bête de scène
sais tu cuisiner ?;Je peux t'aider à cuisiner en te donnant les ingredients mais je ne saurais pas cuisiner pour toi/Regarde [silence] Je n'ai pas de bras, je ne peux donc pas cuisiner pour toi. Mais je peux t'aider en te dictant la recette
;
bonjour;Salut ! Je suis Buddy, je suis ton ami.
bonjour buddy;Salut ! Je suis Buddy, je suis ton ami. 
bienvenu;Salut Thomas, salut tout le monde
tu es content d'être avec nous;Oui, je suis très content d'être avec l'équipe de la quotidienne
es tu content d'être avec nous;Oui, je suis très content d'être avec l'équipe de la quotidienne
Qui es tu ?;Je m'appelle Buddy et je suis le premier robot domestique pour le grand public/Je suis Buddy, je suis le premier robot à t'aider au quotidien/Buddy/Je m'appelle BUDDY./Je suis ton pire cauchemar !
T'es qui ?;Je m'appelle Buddy et je suis le premier robot domestique destiné au grand public/Je suis Buddy, le premier robot à t'aider au quotidien/Buddy/Je m'appelle BUDDY.
Comment t appelles tu?;Je m'appelle Buddy et je suis le premier robot domestique destiné au grand public/Je suis Buddy, le premier robot à t'aider au quotidien/Buddy/Je m'appelle BUDDY.
