# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 4161
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 4161
DATA ascii
0.00094645802 -0.0060968585 -0.0014237411
0.0025310353 -0.0063890191 -0.0012447762
0.0042748516 -0.0064924825 -0.0022539597
-0.002224576 -0.0043140547 -0.00062381802
-0.00084164063 -0.0047961166 -0.00055681786
0.0010596559 -0.0047465372 -0.00050110323
0.0031625868 -0.0049391207 -0.00088907604
0.0048818067 -0.0049535912 -0.0010524797
0.0064401347 -0.0045387116 -0.00096453325
0.0089984667 -0.0049425904 -0.00059088011
-0.0025658326 -0.0025998119 -0.00026688256
-0.00080597342 -0.0030398907 -0.00062781078
0.0012873057 -0.0030805145 -0.0011229434
0.0031206147 -0.0029574542 -0.0011940836
0.0049534845 -0.0029610416 -0.0014635824
0.0066061765 -0.0028102919 -0.0015776692
0.008422181 -0.0029658133 -0.00069242716
0.010061687 -0.0034891888 -0.00096814381
-0.0025473107 -0.0012119801 -0.0011357657
-0.00079777319 -0.0010115965 -0.00098183204
0.0012037818 -0.0011334656 -0.001150037
0.0029407649 -0.0011519979 -0.0014946889
0.0049825306 -0.00097854552 -0.001824962
0.0068121059 -0.0009765802 -0.0012803263
0.0087330472 -0.00082260609 -0.00088563067
0.010169296 -0.0014521589 -0.0011724106
-0.0024541272 0.0011506352 -0.0011867821
-0.00082814024 0.00081784697 -0.0006093416
0.0011971948 0.0008179982 -0.0011417349
0.0032491169 0.0007778196 -0.0016813753
0.0049399515 0.00091968337 -0.0015556043
0.0068517439 0.00095571327 -0.0015135482
0.0088246912 0.00084904773 -0.0008437346
-0.0083925836 0.0022613853 -0.0010817503
-0.0021876092 0.002927914 -0.0021070826
-0.00088591414 0.0031606974 -0.0011871572
0.00092559995 0.0030739629 -0.0014935287
0.0033625322 0.002925195 -0.0015277758
0.0049484326 0.0026505254 -0.0015962285
0.0069379276 0.0026690685 -0.0014099947
0.0084255654 0.0027185446 -0.00058941904
-0.0021781088 0.0052369973 -6.3300366e-05
-0.00079439842 0.0049260072 -0.00018510991
0.0010615102 0.0047785272 -0.0014581946
0.0031511418 0.0047131539 -0.0011784944
0.0048266812 0.0047143339 -0.0014516029
0.0063967654 0.0046359301 -0.0012835517
-0.00053659489 0.0072968239 -0.00025802269
0.00072012673 0.0076236022 -0.00044965465
0.0031761918 0.0068355654 -0.0015458405
0.0047841216 0.0066462141 -0.0013945961
0.0063624303 0.0063691367 -0.0014026687
-0.0028877137 -0.070334285 0.0082288282
-0.0012005235 -0.070546195 0.0078150639
0.00068132882 -0.070495218 0.0082532745
0.002993302 -0.070366502 0.011102566
0.0051846863 -0.070588395 0.010667518
0.007376072 -0.070810288 0.010232468
0.0090196095 -0.070976697 0.0099061811
0.010511044 -0.070992395 0.010573529
-0.011029895 -0.068565309 0.011762362
-0.0089532407 -0.068627819 0.011767507
-0.0068418807 -0.06867224 0.01092538
-0.0049957926 -0.068863623 0.010465678
-0.0030369437 -0.068902105 0.011583761
-0.00085998821 -0.068869725 0.011109078
0.0012296885 -0.068744197 0.011599785
0.0031043491 -0.068838373 0.011535272
0.0051125367 -0.06895341 0.011421333
0.0070421575 -0.068883672 0.011939337
0.0090434533 -0.068971395 0.011987136
0.010897344 -0.068710774 0.010659356
0.013018106 -0.068708383 0.010984063
0.015065191 -0.068651199 0.013789291
0.017014025 -0.068182528 0.016054574
-0.014964496 -0.066716753 0.014160097
-0.012926955 -0.066937067 0.013458185
-0.011075109 -0.067001171 0.012301506
-0.0088115921 -0.066993721 0.013002455
-0.0068500875 -0.066814899 0.014142704
-0.004980423 -0.066893943 0.0141119
-0.0029874039 -0.067087993 0.013605975
-0.0010527041 -0.0670399 0.012885087
0.00097202661 -0.067003436 0.012124576
0.0030926641 -0.066863626 0.012281811
0.0050220704 -0.066965476 0.012209305
0.007087375 -0.067058362 0.011823208
0.0089621628 -0.066870861 0.012025642
0.011117414 -0.066973396 0.012375946
0.013090528 -0.066819951 0.014020056
0.015020865 -0.066852488 0.015565584
0.017070767 -0.066852406 0.014877398
0.019024853 -0.066790037 0.017507106
0.020712823 -0.066402249 0.018738208
-0.018900318 -0.064571202 0.017296806
-0.017005002 -0.064986229 0.016444067
-0.014776386 -0.064793818 0.014156989
-0.012895592 -0.064783305 0.013544839
-0.010960665 -0.065065123 0.012356918
-0.0089844512 -0.064871773 0.014372331
-0.0069892369 -0.0649748 0.013804509
-0.0049828989 -0.06478703 0.013450469
-0.0030448765 -0.064889513 0.013547175
-0.00096606673 -0.064974196 0.012318643
0.00098438968 -0.064970851 0.01152724
0.0030351628 -0.064962231 0.010982251
0.0051662344 -0.06494192 0.011460735
0.0071354322 -0.064843073 0.011711147
0.0089119347 -0.064876147 0.011768635
0.011078056 -0.064771406 0.01248898
0.013179234 -0.06487117 0.013843873
0.014895257 -0.064791299 0.014973975
0.016918039 -0.06479945 0.014856216
0.018966962 -0.065090865 0.016596118
0.020494124 -0.064772867 0.018424889
-0.020750806 -0.063209228 0.01896482
-0.018910641 -0.062948331 0.017235501
-0.016882259 -0.062756889 0.01744139
-0.015069504 -0.062685341 0.016267363
-0.012920044 -0.062967345 0.014750612
-0.010976806 -0.062887505 0.014770874
-0.0089446446 -0.06290625 0.014666464
-0.0071915477 -0.062875479 0.013829906
-0.0050611701 -0.062840693 0.014023811
-0.0029019937 -0.062876485 0.013680261
-0.0010820664 -0.06294883 0.01337378
0.00092943641 -0.063009344 0.01274325
0.0030117605 -0.062915035 0.012323179
0.0050000735 -0.062851258 0.011732801
0.0069618369 -0.062953107 0.012185594
0.0089943316 -0.062743202 0.012322496
0.01091647 -0.062940367 0.011944759
0.012882297 -0.0628336 0.013467602
0.015066405 -0.062990941 0.014461106
0.017083069 -0.063017629 0.014894688
0.018848041 -0.062997155 0.016408579
0.020555759 -0.062939823 0.018258048
0.022164974 -0.062753946 0.019180797
-0.020936696 -0.061157733 0.01967228
-0.019050078 -0.061210696 0.018119751
-0.016954834 -0.061056811 0.01750082
-0.015000335 -0.060895491 0.01659588
-0.012815805 -0.061060525 0.015582306
-0.010722164 -0.060838692 0.015369928
-0.008899265 -0.060990166 0.015272791
-0.0071971943 -0.060956355 0.014623826
-0.005020089 -0.060960013 0.013594743
-0.00290583 -0.060929909 0.012824926
-0.0010369903 -0.061018478 0.012369352
0.00098420132 -0.060974229 0.011980392
0.0030456728 -0.061081529 0.011836276
0.0049501564 -0.060850523 0.011596692
0.0070249722 -0.061029002 0.012131016
0.0088948356 -0.060968578 0.01242679
0.010994161 -0.060913052 0.012675237
0.01318319 -0.060934283 0.01389732
0.015111431 -0.060917418 0.0151059
0.016945405 -0.060964271 0.015089642
0.018963555 -0.061025452 0.016176919
0.020893892 -0.060935006 0.01844343
0.022135336 -0.061000817 0.018761851
-0.020687111 -0.059086889 0.019664038
-0.018691896 -0.059219643 0.019286791
-0.017028835 -0.05903361 0.018249312
-0.015007104 -0.059016425 0.01703451
-0.012980648 -0.05896445 0.016496453
-0.011099552 -0.059058089 0.015581803
-0.0090683773 -0.059086561 0.015046821
-0.0071181296 -0.05906637 0.01412604
